Date,Close/Last,Volume,Open,High,Low
04/04/2025,$23.49,20608190,$21.42,$23.85,$20.78
04/03/2025,$21.10,11141890,$21.60,$21.78,$21.08
04/02/2025,$22.69,10965120,$22.49,$23.02,$22.25
04/01/2025,$22.61,14435330,$22.755,$23.245,$21.95
03/31/2025,$22.32,16147930,$21.40,$22.63,$20.7301
03/28/2025,$21.73,44771680,$21.89,$22.79,$21.70
03/27/2025,$22.09,96733090,$25.865,$26.28,$21.16
03/26/2025,$28.36,53312960,$28.84,$29.80,$27.32
03/25/2025,$25.40,10106780,$25.70,$25.77,$24.9901
03/24/2025,$25.61,5036047,$25.35,$25.83,$25.15
03/21/2025,$24.75,6893871,$23.75,$24.81,$23.65
03/20/2025,$23.51,1998220,$23.65,$24.12,$23.51
03/19/2025,$23.71,3032256,$23.40,$23.99,$23.26
03/18/2025,$23.30,2155842,$23.29,$23.62,$23.14
03/17/2025,$23.50,2899087,$23.24,$23.73,$22.97
03/14/2025,$23.05,3960539,$22.29,$23.15,$22.29
03/13/2025,$21.95,3829828,$22.05,$22.25,$21.56
03/12/2025,$21.99,3718208,$22.945,$23.24,$21.89
03/11/2025,$22.61,4226922,$22.35,$22.98,$22.0825
03/10/2025,$22.42,6226934,$23.44,$23.5799,$22.26
03/07/2025,$24.00,3463954,$24.00,$24.35,$23.52
03/06/2025,$24.20,3421446,$24.74,$25.01,$24.05
03/05/2025,$25.07,3282452,$24.33,$25.16,$24.11
03/04/2025,$24.30,5068726,$23.77,$24.86,$23.44
03/03/2025,$24.40,4290981,$25.26,$25.48,$24.18
02/28/2025,$25.04,4137068,$24.33,$25.0965,$24.20
02/27/2025,$24.48,4589982,$25.00,$25.37,$24.14
02/26/2025,$24.61,3272498,$24.54,$25.21,$24.45
02/25/2025,$24.42,6551451,$24.93,$25.29,$23.83
02/24/2025,$25.00,5980021,$26.34,$26.385,$24.95
02/21/2025,$26.42,6130903,$27.25,$27.58,$26.1553
02/20/2025,$27.04,7735228,$25.80,$27.45,$25.76
02/19/2025,$26.00,4382120,$26.80,$26.96,$25.92
02/18/2025,$26.97,5337801,$27.03,$27.59,$26.6608
02/14/2025,$27.00,12142610,$28.90,$28.97,$26.90
02/13/2025,$26.34,8255330,$25.75,$26.40,$25.75
02/12/2025,$25.99,3999243,$26.12,$26.40,$25.60
02/11/2025,$26.56,7042658,$26.85,$27.76,$26.47
02/10/2025,$27.12,9694662,$25.50,$27.27,$25.30
02/07/2025,$24.73,3403304,$24.90,$25.02,$24.60
02/06/2025,$24.80,4349516,$24.93,$25.39,$24.53
02/05/2025,$24.93,4580218,$25.70,$25.809,$24.90
02/04/2025,$25.90,3353742,$25.85,$26.25,$25.80
02/03/2025,$25.89,5740535,$25.57,$26.54,$25.50
01/31/2025,$26.90,4544033,$27.79,$28.18,$26.90
01/30/2025,$27.99,3343948,$27.84,$28.23,$27.7125
01/29/2025,$27.51,3220404,$27.41,$27.74,$27.06
01/28/2025,$27.46,3169854,$27.00,$27.59,$26.6539
