source_osm,target_osm,street_name,capacity,u_lat,u_lon,v_lat,v_lon
42421728,42435337,Central Park West,1000,40.7980478,-73.9600437,40.7973764,-73.9605349
42421728,42421731,West 106th Street,1000,40.7980478,-73.9600437,40.7986542,-73.9614745
42421728,42432736,Central Park West,1000,40.7980478,-73.9600437,40.7987264,-73.9595472
42421731,42437916,Manhattan Avenue,200,40.7986542,-73.9614745,40.7979763,-73.96197
42421731,42432737,Manhattan Avenue,200,40.7986542,-73.9614745,40.7993297,-73.9609777
42421731,42421728,West 106th Street,1000,40.7986542,-73.9614745,40.7980478,-73.9600437
42421731,42421737,West 106th Street,1000,40.7986542,-73.9614745,40.7992437,-73.9628734
42421737,42421731,West 106th Street,1000,40.7992437,-73.9628734,40.7986542,-73.9614745
42421737,42437917,Columbus Avenue,1800,40.7992437,-73.9628734,40.7985681,-73.9633705
42421737,42421741,West 106th Street,1000,40.7992437,-73.9628734,40.8004295,-73.9656909
42421741,42432756,Amsterdam Avenue,1800,40.8004295,-73.9656909,40.8011081,-73.9651949
42421741,1061531654,West 106th Street,1000,40.8004295,-73.9656909,40.8013033,-73.9677649
42421741,42421737,West 106th Street,1000,40.8004295,-73.9656909,40.7992437,-73.9628734
42421745,1061531654,West 106th Street,1000,40.8013981,-73.9679955,40.8013033,-73.9677649
42421745,42421749,West 106th Street,1000,40.8013981,-73.9679955,40.8016452,-73.9685741
42421745,11803957852,Broadway,1800,40.8013981,-73.9679955,40.8005602,-73.9680927
42421749,42421751,West 106th Street,200,40.8016452,-73.9685741,40.8022679,-73.9700504
42421749,42421745,West 106th Street,1000,40.8016452,-73.9685741,40.8013981,-73.9679955
42421749,42431118,West End Avenue,600,40.8016452,-73.9685741,40.8009668,-73.9690527
42421751,42421749,West 106th Street,200,40.8022679,-73.9700504,40.8016452,-73.9685741
42421751,42432764,Riverside Drive,200,40.8022679,-73.9700504,40.802938,-73.96956
42421769,42443347,Columbus Avenue,1800,40.7826383,-73.9750067,40.7819606,-73.9754991
42421772,42421769,West 80th Street,200,40.783828,-73.9778254,40.7826383,-73.9750067
42421772,42442469,Amsterdam Avenue,1800,40.783828,-73.9778254,40.7844692,-73.9773536
42421775,11655721345,West 80th Street,200,40.7845691,-73.9795827,40.7844847,-73.9793825
42421775,42428653,Broadway,1800,40.7845691,-73.9795827,40.783893,-73.9800838
42421776,42421775,West 80th Street,200,40.7850352,-73.9806732,40.7845691,-73.9795827
42421776,42431024,West End Avenue,600,40.7850352,-73.9806732,40.7856725,-73.9802092
42421776,42431019,West End Avenue,600,40.7850352,-73.9806732,40.7843536,-73.9811697
42421778,42421776,West 80th Street,200,40.7855915,-73.9820041,40.7850352,-73.9806732
42421778,42422592,Riverside Drive,1000,40.7855915,-73.9820041,40.7849764,-73.9826519
42421778,42441587,Riverside Drive,1000,40.7855915,-73.9820041,40.7861933,-73.9814421
42421783,42443522,Nagle Avenue,1800,40.8593291,-73.9313239,40.860242,-73.92842
42421783,42427782,Bennett Avenue,200,40.8593291,-73.9313239,40.8581161,-73.932977
42421783,42429174,Broadway,1800,40.8593291,-73.9313239,40.860641,-73.930771
42421783,8904913030,Broadway,1800,40.8593291,-73.9313239,40.8590785,-73.9314426
42421785,42421786,Hillside Avenue,600,40.858744,-73.930122,40.859012,-73.927625
42421785,42443520,Bogardus Place,200,40.858744,-73.930122,40.859545,-73.927977
42421786,42421791,Hillside Avenue,600,40.859012,-73.927625,40.859944,-73.926786
42421791,4814440062,Hillside Avenue,600,40.859944,-73.926786,40.8613637,-73.9252612
42421791,42448930,Sickles Street,200,40.859944,-73.926786,40.860657,-73.9273
42421800,42435308,Central Park West,1000,40.7839869,-73.9703125,40.7833528,-73.9707756
42421800,42424851,Central Park West,1000,40.7839869,-73.9703125,40.784623,-73.9698495
42421803,42437300,Columbus Avenue,1800,40.7851818,-73.9731496,40.7845451,-73.9736127
42421803,42421800,West 84th Street,200,40.7851818,-73.9731496,40.7839869,-73.9703125
42421806,42421803,West 84th Street,200,40.7863627,-73.9759753,40.7851818,-73.9731496
42421806,42442475,Amsterdam Avenue,1800,40.7863627,-73.9759753,40.7870011,-73.9755093
42421809,11655721355,West 84th Street,200,40.7870876,-73.9776916,40.7870124,-73.9775145
42421809,42428663,Broadway,1800,40.7870876,-73.9776916,40.7864652,-73.9781723
42421810,42421809,West 84th Street,200,40.7875711,-73.9788225,40.7870876,-73.9776916
42421810,42431030,West End Avenue,600,40.7875711,-73.9788225,40.7869367,-73.979288
42421810,42431034,West End Avenue,600,40.7875711,-73.9788225,40.7882037,-73.9783631
42421820,42421810,West 84th Street,200,40.788486,-73.9810702,40.7875711,-73.9788225
42421820,42437312,Riverside Drive,1000,40.788486,-73.9810702,40.7876839,-73.9811521
42421820,42441569,Riverside Drive,1000,40.788486,-73.9810702,40.7892552,-73.9808538
42421828,42430942,East 10th Street,600,40.725334,-73.9762137,40.7248848,-73.9751696
42421828,42430938,East 10th Street,600,40.725334,-73.9762137,40.7258818,-73.9775411
42421852,561035342,La Salle Street,200,40.8126219,-73.9568234,40.8137352,-73.9595608
42421852,42442584,Amsterdam Avenue,1000,40.8126219,-73.9568234,40.8133809,-73.9562717
42421852,42438928,Amsterdam Avenue,1000,40.8126219,-73.9568234,40.8112717,-73.957805
42421857,42421865,La Salle Street,200,40.8138218,-73.9598,40.814184,-73.9606929
42421857,561035342,La Salle Street,200,40.8138218,-73.9598,40.8137352,-73.9595608
42421857,1506591534,Broadway,1800,40.8138218,-73.9598,40.8118836,-73.9612283
42421865,42421857,La Salle Street,200,40.814184,-73.9606929,40.8138218,-73.9598
42421865,42443181,Claremont Avenue,200,40.814184,-73.9606929,40.8155364,-73.9597119
42421865,1332860731,Claremont Avenue,200,40.814184,-73.9606929,40.8122569,-73.9621024
42421877,42421889,West 9th Street,200,40.7328696,-73.9959296,40.7341463,-73.9991816
42421877,42437949,5th Avenue,1000,40.7328696,-73.9959296,40.7322611,-73.9963683
42421889,42432191,Christopher Street,200,40.7341463,-73.9991816,40.7340784,-73.9996733
42421889,42430241,6th Avenue,1000,40.7341463,-73.9991816,40.7347874,-73.9987127
42421941,42421960,Water Street,1800,40.7042693,-74.0087265,40.7041084,-74.0089696
42421941,42453902,Water Street,1800,40.7042693,-74.0087265,40.7051798,-74.0074068
42421946,42421941,Old Slip,200,40.7038253,-74.0083431,40.7042693,-74.0087265
42421951,42444223,South Street,1800,40.7033264,-74.0077746,40.7037626,-74.0070517
42421951,42421965,South Street,1800,40.7033264,-74.0077746,40.7032048,-74.0079952
42421951,42421946,Old Slip,200,40.7033264,-74.0077746,40.7038253,-74.0083431
42421960,42427956,Hanover Square,200,40.7041084,-74.0089696,40.7045596,-74.0094849
42421960,42431898,Water Street,1800,40.7041084,-74.0089696,40.7029659,-74.0115133
42421960,42421965,Old Slip,200,40.7041084,-74.0089696,40.7032048,-74.0079952
42421960,42421941,Water Street,1800,40.7041084,-74.0089696,40.7042693,-74.0087265
42421965,4145794861,South Street,1800,40.7032048,-74.0079952,40.7022883,-74.0094947
42421969,5706568625,Central Park West,1000,40.7692956,-73.9810586,40.7699178,-73.9805837
42421972,1061531777,West 61st Street,200,40.7697925,-73.982236,40.7696966,-73.9820135
42421972,42428570,Broadway,1800,40.7697925,-73.982236,40.7689504,-73.9822001
42421974,42421972,West 61st Street,200,40.7704797,-73.9838597,40.7697925,-73.982236
42421974,1241742627,Columbus Avenue,1800,40.7704797,-73.9838597,40.7698546,-73.9843169
42421982,2974462027,West 61st Street,200,40.7716605,-73.986677,40.7712531,-73.9859388
42421982,7050687060,Amsterdam Avenue,1800,40.7716605,-73.986677,40.7722805,-73.9862242
42421985,42421982,West 61st Street,600,40.7728633,-73.9895402,40.7716605,-73.986677
42421985,3533937800,West 61st Street,200,40.7728633,-73.9895402,40.7733062,-73.9905614
42421985,42430981,West End Avenue,1000,40.7728633,-73.9895402,40.7734893,-73.9890814
42421985,2061592973,West End Avenue,1000,40.7728633,-73.9895402,40.7722404,-73.9899959
42421993,42421996,West 89th Street,200,40.787235,-73.9679404,40.7884325,-73.9707862
